id,retained_contract,contract_source,implementation,baseline_commit_and_original_result,implementation_commit,present_assertions,sensitivity,platform_CI,uncovered_behavior,owner
DCP-016,Safe storage bridge,capabilities.md,SafeStorageIpc.ts; SafeStorageContract.ts; AuthorizedIpc.ts; ViewIdentityRegistry.ts; preload-webview.ts; mainProcess.ts,SafeStorage tests and implementation introduced together in 4279362f; no pre-refactor passing run or initial failing-target result evidenced,4279362f; quota/deny assertions strengthened e409e9ab and 539fae0f,SafeStorageIpc.test.main.ts: exact string/Buffer conversion; unauthorized/malformed requests cause zero native calls; output bounds; independent encrypt/decrypt quotas; disposal,Current critical mutation audit pending; do not infer from test labels,Current Node-only IPC contract run passes 11 cases including three safe-storage cases; final native/platform qualification pending,F012 ciphertext ownership and legacy migration decision; actual native key-store success/unavailability and packaged round trip; F003 limiter lifetime,SEC-003 / TST-006
DCP-017,Squirrel install and updates,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-018,MSI managed deployment,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-019,"macOS signing, notarization, and update",capabilities.md,bin/build-tools/lib/build-macos.ts; retained updater requires separate F-007 remediation,01fe145a/2e2e3a69 signing targets:4 pass/8 fail; not original pre-modernization provenance,not yet traced,macos-signing.test.ts:order/failure/metadata/confidentiality/options/config rejection; inert tools,Omitting fuses and swallowing automatic sign rejection each fail exact targets,Local Node only for signing candidate; final platform and actual signing unqualified,Native signing/notarization/entitlement/post-sign fuse verification and signed update/restart remain external; final composed checks pending,PKG-001 / SEC-011 / PKG-002 / TST-006
DCP-020,Linux packaging and desktop integration,capabilities.md,Partial mapping: build-linux.ts; build-cli.ts; packageInputs.ts; verify-package-contents.cjs; runtime desktop/protocol paths pending,Original pre-modernization package baseline not yet traced; 9de6fb4a package-input baseline 16 controls pass/98 policy failures; dda2cc6b top-level tar inclusion fails,78d2d5dd runtime allowlist; 7280d5d9 scoped root exclusion; final local source 725efb5c,179 package policy cases; all three extracted Linux installer ASARs pass 7338 entries/22 required files and same 407-package inventory,Original copy-filter mutation fails 98 targets; broad nested-package exclusion fails retained-runtime target; static installer content/fuse check has no native launch sensitivity,Local AppImage/deb/rpm from documentation head ffa6074c pass static ASAR/inventory/fuse checks; no hosted final-head run,F-021 original AppImage sandbox-disable launch path has scoped static fix 45f45f4f and environment-correct 7771a714 artifact; hosted/native check pending; Linux packaged startup/protocol/tray/menu; supported desktop-environment matrix; final-head hosted Linux CI; original baseline provenance,TST-006 / PKG-001 / TST-005
DCP-021,Settings and user-data migration,capabilities.md,SchemaUpdater.ts; ConfigurationPersistence.ts; lifecycle.quit; EnvironmentUtil.setEnvironment; developer menu,b122d801: 3 pass/5 security-target failures; f5f8684c: 4 pass/3 security-target failures; corrected actual window keys pass original source,Local F-010 candidate; not integrated,34 filesystem cases; 2 environment failure cases locally pass; native Quit/menu authored,Legacy value omission fails; omitted flush and unsafe publication fail; restored,Selected on Windows/macOS/Linux; candidate qualification pending,Released-version and install-type matrix; signed migration/rollback; final composed counters pending,PKG-003 / TST-006
INV-001,"Remote web content MUST run with `nodeIntegration: false`, `contextIsolation: true`, and renderer sandboxing enabled.",plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-002,"Remote content MUST NOT access `@electron/remote`, raw Electron APIs, Node APIs, or a generic IPC send/invoke function.",plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-003,"Every privileged IPC operation MUST validate sender identity, sender frame/origin, payload schema, and applicable account/view capability.",plan.md,Partial mapping: electron/src/accounts/AccountController.ts run/receive; broader contract review pending,Original provenance pending; later F-008 baseline 8cd6bd18: ordering/authority pass; overload fails,not yet traced,AccountControllerQueue.test.main.ts: copied FIFO payloads; stale denial; 32-operation bound; cancellation/replacement recovery; broader mapping pending,Copy/authority/limit/release perturbations fail; restored 40 queue/state/profile tests pass,Node-only local evidence; candidate hosted qualification pending,Broader capability/invariant paths pending; F-008 local remedy awaits hosted qualification,TST-006 / existing capability owner
INV-004,"Account sessions MUST be isolated. One renderer MUST NOT read or mutate another account's storage, cookies, encryption operations, or desktop state.",plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-005,"Navigation, new-window creation, external URL opening, and custom-protocol dispatch MUST use explicit allow/deny policy. Logging an invalid navigation is insufficient.",plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-006,"Permissions MUST default to deny and be granted only to an authorized origin, view, permission type, and user flow.",plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-007,"Main-process network fetches initiated by a renderer MUST resist SSRF, unsafe redirects, oversized responses, and unsupported protocols.",plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-008,Local wrapper content MUST have a restrictive CSP without `unsafe-eval` in production.,plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-009,"Production packages MUST apply reviewed Electron fuses, code signing, and integrity controls supported by the target platform.",plan.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
INV-010,"Security-sensitive failures MUST fail closed and produce useful, non-secret diagnostic information.",plan.md,Partial mapping: electron/src/accounts/AccountController.ts run/receive; broader contract review pending,Original provenance pending; later F-008 baseline 8cd6bd18: ordering/authority pass; overload fails,not yet traced,AccountControllerQueue.test.main.ts: copied FIFO payloads; stale denial; 32-operation bound; cancellation/replacement recovery; broader mapping pending,Copy/authority/limit/release perturbations fail; restored 40 queue/state/profile tests pass,Node-only local evidence; candidate hosted qualification pending,Broader capability/invariant paths pending; F-008 local remedy awaits hosted qualification,TST-006 / existing capability owner
wire-desktop:accounts:control:v1,Named read/add/select/remove/reload/logout/context-menu/layout/join controls; main-owned IDs and private display snapshots,ipc-inventory.md,Partial mapping: electron/src/accounts/AccountController.ts run/receive; broader contract review pending,Original provenance pending; later F-008 baseline 8cd6bd18: ordering/authority pass; overload fails,not yet traced,AccountControllerQueue.test.main.ts: copied FIFO payloads; stale denial; 32-operation bound; cancellation/replacement recovery; broader mapping pending,Copy/authority/limit/release perturbations fail; restored 40 queue/state/profile tests pass,Node-only local evidence; candidate hosted qualification pending,Broader capability/invariant paths pending; F-008 local remedy awaits hosted qualification,"SEC-007, CAP-001"
wire-desktop:account:event:v1,"Bounded metadata, lifecycle, badge, activation, environment and join events; identity from registered sender, never payload",ipc-inventory.md,Partial mapping: electron/src/accounts/AccountController.ts run/receive; broader contract review pending,Original provenance pending; later F-008 baseline 8cd6bd18: ordering/authority pass; overload fails,not yet traced,AccountControllerQueue.test.main.ts: copied FIFO payloads; stale denial; 32-operation bound; cancellation/replacement recovery; broader mapping pending,Copy/authority/limit/release perturbations fail; restored 40 queue/state/profile tests pass,Node-only local evidence; candidate hosted qualification pending,Broader capability/invariant paths pending; F-008 local remedy awaits hosted qualification,"SEC-007, CAP-001, SEC-008"
wire-desktop:secure-shell:runtime-info:v1,Runtime metadata read,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,SEC-003
wire-desktop:safe-storage:encrypt:v1,OS key-store encryption,ipc-inventory.md,SafeStorageIpc.ts; SafeStorageContract.ts; AuthorizedIpc.ts; ViewIdentityRegistry.ts; preload-webview.ts; mainProcess.ts,SafeStorage tests and implementation introduced together in 4279362f; no pre-refactor passing run or initial failing-target result evidenced,4279362f; quota/deny assertions strengthened e409e9ab and 539fae0f,SafeStorageIpc.test.main.ts: exact string/Buffer conversion; unauthorized/malformed requests cause zero native calls; output bounds; independent encrypt/decrypt quotas; disposal,Current critical mutation audit pending; do not infer from test labels,Current Node-only IPC contract run passes 11 cases including three safe-storage cases; final native/platform qualification pending,F012 ciphertext ownership and legacy migration decision; actual native key-store success/unavailability and packaged round trip; F003 limiter lifetime,SEC-003 / TST-006
wire-desktop:safe-storage:decrypt:v1,OS key-store decryption,ipc-inventory.md,SafeStorageIpc.ts; SafeStorageContract.ts; AuthorizedIpc.ts; ViewIdentityRegistry.ts; preload-webview.ts; mainProcess.ts,SafeStorage tests and implementation introduced together in 4279362f; no pre-refactor passing run or initial failing-target result evidenced,4279362f; quota/deny assertions strengthened e409e9ab and 539fae0f,SafeStorageIpc.test.main.ts: exact string/Buffer conversion; unauthorized/malformed requests cause zero native calls; output bounds; independent encrypt/decrypt quotas; disposal,Current critical mutation audit pending; do not infer from test labels,Current Node-only IPC contract run passes 11 cases including three safe-storage cases; final native/platform qualification pending,F012 ciphertext ownership and legacy migration decision; actual native key-store success/unavailability and packaged round trip; F003 limiter lifetime,SEC-003 / TST-006
wire-desktop:managed-config:read:v1,Enterprise policy read,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-005"
wire-desktop:save-picture:v1,"Network-sized bytes, native dialog, file write",ipc-inventory.md,SavePictureIpc.ts; SavePictureContract.ts; lib/download.ts; mainProcess.ts,Test-only 1c894804 precedes implementation 72e4fe8a but imports the not-yet-created binder; not passing legacy characterization; original execution not independently evidenced; later regression3bb1e04e:11 pass/1 pending-save failure,72e4fe8a; additional validator denies 4104329a,SavePictureIpc.test.main.ts: exact bytes/timestamp; invalid and foreign requests cause zero save calls; per-view prompt quota; disposal; global pending bound across quotas/accounts; cancellation/failure recovery; native real-IPC fixture authored,Omitting release fails three cases; restored15 related cases pass; native execution pending,Current Node-only IPC contract run passes 11 cases including three save-picture cases; final native/platform qualification pending,Native fixture/platform execution and OS dialog interaction; final composed qualification,SEC-003 / SEC-004 / TST-006
wire-desktop:notification:activate:v1,Global window activation,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-004"
wire-desktop:webapp:loaded:v1,Flushes global queued actions,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-001"
wire-desktop:badge-count:update:v1,"Tray, badge, dock, and flashing state",ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-004"
wire-desktop:account:delete-data:v1,Legacy exact-target deletion,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-001"
wire-desktop:wrapper:reload-request:v1,Reloads all native accounts through the main controller; preserves sessions and rechecks queued sender authority,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-001"
wire-desktop:wrapper:relaunch-request:v1,Relaunches the application or reloads account content on macOS,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,SEC-003
wire-desktop:open-graph:fetch:v1,Main-process network fetch,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, SEC-012"
wire-desktop:download-location:update:v1,Directory creation and persistent settings write,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-005"
wire-desktop:desktop-sources:enumerate:v1,Legacy thumbnail enumeration,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-003"
wire-desktop:display:begin:v1,Opens a local source chooser; no source authority in request,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,CAP-003
wire-desktop:display:stop:v1,Ends capture,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,CAP-003
wire-desktop:display:broker:read:v1,Main-owned source names/thumbnails shown only in broker,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,CAP-003
wire-desktop:display:broker:select:v1,One-use native video capture grant,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,CAP-003
wire-desktop:display:broker:stop:v1,Stops its owning capture,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,CAP-003
wire-desktop:display:broker:heartbeat:v1,Renews bounded main-process capture deadline after successful delivery,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,CAP-003
wire-desktop:deep-link:submit:v1,Protocol/action dispatch,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, SEC-013, CAP-006"
wire-desktop:sso-window:close:v1,Controls the account-owned SSO window,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-002"
wire-desktop:sso-window:focus:v1,Controls the account-owned SSO window,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-002"
wire-desktop:webapp-versions:report:v1,Supplies combined About-window version state,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,SEC-003
wire-desktop:about:locale-read:v1,Bounded localized resource lookup,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,SEC-003
wire-desktop:proxy-prompt:locale-read:v1,Bounded localized resource lookup,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-005"
wire-desktop:proxy-prompt:submit:v1,"Proxy credentials, challenged-session policy, and reload",ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-005"
wire-desktop:proxy-prompt:cancel:v1,"Proxy credentials, challenged-session policy, and reload",ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-003, CAP-005"
wire-desktop:sso:account-limit:v1,Native warning dialog with no renderer-supplied content,ipc-inventory.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,"SEC-004, CAP-002"
